name,frontColor,backgroundColor,borderThick,borderStyle,borderColor,icon
Cloud,$AWS_COLOR_DARK_BLUE,transparent,1,solid,$AWS_COLOR_DARK_BLUE,aws-20200430/Item/Groups/AwsCloud
AWS Cloud,$AWS_COLOR_DARK_BLUE,transparent,1,solid,$AWS_COLOR_DARK_BLUE,aws-20200430/Item/Groups/AwsCloudAlt
Region,$AWS_COLOR_LIGHT_BLUE,transparent,1,dotted,$AWS_COLOR_LIGHT_BLUE,aws-20200430/Item/Groups/Region
Availability Zone,$AWS_COLOR_LIGHT_BLUE,transparent,1,dashed,$AWS_COLOR_LIGHT_BLUE,
Security,$AWS_COLOR_RED,transparent,1,solid,$AWS_COLOR_RED,
Auto Scaling,$AWS_COLOR_ORANGE,transparent,1,dashed,$AWS_COLOR_ORANGE,aws-20200430/Item/Groups/AutoScaling
VPC,$AWS_COLOR_GREEN,transparent,1,solid,$AWS_COLOR_GREEN,aws-20200430/Item/Groups/VirtualPrivateCloudVpc
Private Subnet,$AWS_COLOR_LIGHT_BLUE,$AWS_COLOR_LIGHT_BLUE_BG,0,solid,none,aws-20200430/Item/Groups/VpcSubnetPrivate
Public Subnet,$AWS_COLOR_GREEN,$AWS_COLOR_LIGHT_BLUE_BG,0,solid,none,aws-20200430/Item/Groups/VpcSubnetPublic
Server Contents,$AWS_COLOR_GREY,transparent,1,solid,$AWS_COLOR_GREY,aws-20200430/Item/Groups/ServerContents
Corporate Data Center,$AWS_COLOR_GREY,transparent,1,solid,$AWS_COLOR_GREY,aws-20200430/Item/Groups/CorporateDataCenter
Elastic Beanstalk Container,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-20200430/Item/Groups/ElasticBeanstalkContainer
EC2 Instance Contents,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-20200430/Item/Groups/Ec2InstanceContainer
Spot Fleet,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-20200430/Item/Groups/SpotFleet
AWS Step Functions workflow,$AWS_COLOR_VIOLET,transparent,1,solid,$AWS_COLOR_VIOLET,aws-20200430/Item/Groups/AwsStepFunction
Dashed,$AWS_COLOR_GREY,transparent,1,dashed,$AWS_COLOR_GREY,
Plain,$AWS_COLOR_DARK_BLUE,$AWS_COLOR_GREY_BG,0,solid,none,
Container Registry Service,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-20200430/Item/Compute/AwsEc2ContainerRegistry
Elastic Container Service,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-20200430/Item/Compute/AwsElasticContainerService
ECS Container,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-20200430/Item/Compute/AwsElasticContainerServiceContainer1
ECS Task,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-20200430/Item/Compute/AwsElasticContainerServiceTask
ECS Service,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-20200430/Item/Compute/AwsElasticContainerServiceService
Elastic Kubernetes Service,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-20200430/Item/Compute/AwsElasticKubernetesService
