name,front_color,background_color,border_thick,border_style,border_color,icon_reference
Cloud,$AWS_COLOR_DARK_BLUE,transparent,1,solid,$AWS_COLOR_DARK_BLUE,aws-q2-2022/Resource/GroupIcons/Cloud
AWS Cloud,$AWS_COLOR_DARK_BLUE,transparent,1,solid,$AWS_COLOR_DARK_BLUE,aws-q2-2022/Resource/GroupIcons/AwsCloud
Region,$AWS_COLOR_LIGHT_BLUE,transparent,1,dotted,$AWS_COLOR_LIGHT_BLUE,aws-q2-2022/Resource/GroupIcons/Region
Availability Zone,$AWS_COLOR_LIGHT_BLUE,transparent,1,dashed,$AWS_COLOR_LIGHT_BLUE,
Security,$AWS_COLOR_RED,transparent,1,solid,$AWS_COLOR_RED,
Auto Scaling,$AWS_COLOR_ORANGE,transparent,1,dashed,$AWS_COLOR_ORANGE,aws-q2-2022/Resource/GroupIcons/AutoScaling
VPC,$AWS_COLOR_GREEN,transparent,1,solid,$AWS_COLOR_GREEN,aws-q2-2022/Resource/GroupIcons/Vpc
Private Subnet,$AWS_COLOR_LIGHT_BLUE,$AWS_COLOR_LIGHT_BLUE_BG,0,solid,transparent,aws-q2-2022/Resource/GroupIcons/VpcSubnetPrivate
Public Subnet,$AWS_COLOR_GREEN,$AWS_COLOR_LIGHT_BLUE_BG,0,solid,transparent,aws-q2-2022/Resource/GroupIcons/VpcSubnetPublic
Server Contents,$AWS_COLOR_GREY,transparent,1,solid,$AWS_COLOR_GREY,aws-q2-2022/Resource/GroupIcons/ServerContents
Corporate Data Center,$AWS_COLOR_GREY,transparent,1,solid,$AWS_COLOR_GREY,aws-q2-2022/Resource/GroupIcons/CorporateDataCenter
Elastic Beanstalk Container,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-q2-2022/Resource/GroupIcons/ElasticBeanstalkContainer
EC2 Instance Contents,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-q2-2022/Resource/GroupIcons/Ec2InstanceContainer
Spot Fleet,$AWS_COLOR_ORANGE,transparent,1,solid,$AWS_COLOR_ORANGE,aws-q2-2022/Resource/GroupIcons/SpotFleet
AWS Step Functions workflow,$AWS_COLOR_VIOLET,transparent,1,solid,$AWS_COLOR_VIOLET,aws-q2-2022/Resource/GroupIcons/AwsStepFunction
Dashed,$AWS_COLOR_GREY,transparent,1,dashed,$AWS_COLOR_GREY,
Plain,$AWS_COLOR_DARK_BLUE,$AWS_COLOR_GREY_BG,0,solid,transparent,
